"Activity" "Subject" "tBodyAccX" "tBodyAccY" "tBodyAccZ" "tBodyGyroX" "tBodyGyroY" "tBodyGyroZ" "tTotalAccX" "tTotalAccY" "tTotalAccZ"
"Laying" 1 -0.014794166294 0.0052455126414 -0.0031155270006 -0.0159661675716 0.002071595314 0.067336505546 0.1616812006 0.7400646982 0.433502398
"Laying" 2 -0.00976731646666667 -0.00221490100958333 0.00166079207491667 0.0177494937135417 -0.0291456208208333 0.0489002066666667 -0.0272085174375 0.76727656875 0.631166860416667
"Laying" 3 -0.00149184656790323 -0.00281227891451613 0.00374449199677419 0.0112363524564516 -0.00602501685483871 0.0449739774408065 0.165674370806452 0.853648337096774 0.473537672580645
"Laying" 4 -0.0277182417301852 0.005727721395 0.0045227685537037 0.0323878873814815 -0.00991448791296296 0.0652862963209259 0.0342681375122222 0.927358924074074 0.332360040740741
"Laying" 5 -0.0145492712757692 0.00522750632576923 0.00196236673653846 0.0167157139403846 -0.00368025696730769 0.0577465030576923 -0.00764369932692308 0.974229905769231 0.253247707692308
"Laying" 6 -0.0354197004192982 0.0125927357922632 -0.00561981602157895 0.0646580331578947 -0.0100965986666667 0.0648268942666667 -0.0105000320263158 0.970613484210526 0.171164431912281
"Laying" 7 -0.0326868808653846 -0.0152680304173077 0.0106078069503846 0.0471630230096154 -0.04322122955 0.0503826166903846 -0.0300204976153846 0.405069036538462 0.886101526923077
"Laying" 8 -0.0176286269433333 -0.0145439818388889 0.013632763287037 0.049013682962963 -0.0106259449796296 0.0443840109259259 0.0448456245555556 0.603217055555556 0.701446803703704
"Laying" 9 -0.022063014334 -0.0009611412818 0.005805926812 0.024325718914 -0.077460236538 0.01188388217 -0.078744173878 -0.100834194 0.936641432
"Laying" 10 0.00161529254539655 -0.00650734423396552 -0.00981407226810345 -0.0102535312036207 -0.00130553482758621 0.0167199069746552 0.0190140698275862 -0.122638324137931 -0.0387544034482759
"Laying" 11 -0.00210182608982456 -0.00052170341754386 -0.00209720969140351 0.0205705774596491 0.0162607701159649 0.0494455678526316 0.241309847368421 0.958962080701754 0.105314362982456
"Laying" 12 -0.017862270385 0.0033098493225 0.00438724815166667 0.0100992696083333 -0.009649239267 0.05157944418855 0.0632664630433333 0.823522805 0.2654091915
"Laying" 13 -0.00366211159758065 -0.00441422649354839 0.00735894726580645 0.0287335349709677 -0.0136798966806452 0.0345318929790323 0.224946020967742 0.672532480645161 0.583200887096774
"Laying" 14 -0.0331210405392157 0.0183861620254902 0.0273343059078431 0.0485117847529412 -0.01758078419 0.0208805856372549 0.228724662745098 0.510112945098039 0.819711807843137
"Laying" 15 -0.00263107428375 0.000731934997222222 -0.000750262969180555 0.0161465728791667 0.0163020887486111 0.0267186370495833 0.211865482083333 0.915557077777778 -0.0404571055555556
"Laying" 16 -0.004696320884 -0.00194653507428571 0.00107351946285714 0.0202805676028571 -0.03267630723 0.00908981842714286 0.190287881 -0.00286708714285714 0.871403771428571
"Laying" 17 -0.00440148356338028 0.00496517471830986 -0.000573728269014085 0.0116603644249296 -0.0248290893060423 0.0219030159394366 0.193358046478873 0.677452456338028 0.705340222535211
"Laying" 18 0.00133605728461538 -0.000535140833076923 0.000898537171692308 0.00705953697492308 -0.00799628695553846 0.0127518284235385 0.180243201538462 0.737144941538462 0.59046122
"Laying" 19 -0.00424787673144578 0.000768336541204819 -0.000296414405542169 -0.00910494626590361 -0.0206796046048193 0.018220381213253 -0.145929041653012 0.743564121686747 0.670334520481928
"Laying" 20 -0.023926574555 0.0104854506558824 0.00100294546323529 0.00419574857852941 -0.0115007035485294 0.0262553557264706 -0.00156751727941177 0.885451832352941 0.461356033823529
"Laying" 21 -0.0113758495422222 -0.000458158010111111 0.0122623963666667 -0.00705521268222222 -0.0316169078222222 0.0149537796925556 0.210142266 0.618409127777778 0.771078885555556
"Laying" 22 3.59376576388888e-05 0.00547248258055556 0.00381414506763889 0.0122691671361111 -0.00872382149583333 0.0458874727054167 0.0419933173194444 0.6484235125 0.755111038888889
"Laying" 23 -0.0110409940416667 -0.00533361825041667 0.00560015156986111 0.0258685329319444 -0.0201588937902778 0.0230767164497944 0.0580288254166667 0.455888747222222 0.896407401388889
"Laying" 24 -0.00813090875138889 -0.000395412311666667 0.00439659503333333 0.0217872439402778 -0.0227832898458333 0.0253021730698611 0.0796316702083333 0.755900970833333 0.667242573611111
"Laying" 25 -0.0181503489328767 -0.00864267511643836 0.0201531205890411 0.051052125369863 0.0175084314178082 0.0339996619671233 0.00706434816438356 0.635815858767123 0.515401574794521
"Laying" 26 -0.0163677048293421 -0.00195883709473684 0.00484940302157895 0.0157831834289474 -0.00467139811710526 0.0547585179752237 -0.105104811315789 0.818894581578947 0.598239125
"Laying" 27 -0.00217562058527027 -0.0028602008512027 0.00106484313783784 0.0166133143627027 -0.0224284583824324 0.0301656528081081 -0.0392718787432432 0.583578278378378 0.825897941891892
"Laying" 28 -0.001781757179125 0.004533602575875 -0.00490824879075 0.028211500265 -0.02205463533625 0.0043722911185 -0.0111908185 0.16027638125 0.00672885
"Laying" 29 0.00529056003275362 -0.000223439985507246 -0.00340918798956522 0.00529798032115942 -0.0058682511 0.0391430134710145 0.090941851884058 0.824756631884058 0.573934492753623
"Laying" 30 0.00167630382928571 -0.000640880200142857 -0.000883412934857143 0.013072046576 -0.00409605519871429 0.0128999418428571 0.0904738876285714 0.751275894285714 0.661355551428571
"Sitting" 1 -0.00594437001978723 0.0164534424106383 0.00628945031468085 -0.0232076234938298 -0.0166764589468085 -0.0256845792744681 0.92194920212766 0.222694174468085 0.323122504255319
"Sitting" 2 0.00539671204954348 0.000619850846804349 -0.0054791043173913 -0.0298297051065217 0.00491840874347826 -0.0352881267247826 1.00144047608696 -0.0842534217826087 0.188035904347826
"Sitting" 3 0.000156060147230769 0.0156343286769231 0.00709757991538462 0.00800294408076923 -0.0240120286923077 0.0135857389115385 0.976356075 0.141883254961538 0.130795616153846
"Sitting" 4 -0.0030000008622 0.02467894949 0.00685298522126 -0.019714591036 -0.006881162306 -0.000423404441999999 0.951058842 0.2382960719 0.1039664459
"Sitting" 5 -0.000280765625 0.0131403962977273 -0.0056504431125 -0.0429169545 0.00789191172727273 -0.01450408055 0.959858004545455 0.184907579220455 0.130092293318182
"Sitting" 6 0.00135400343381818 0.0124901728072727 -0.004520666728 -0.0250124291072727 -0.0165813542363636 -0.0174122706927273 0.995839110909091 0.0925347903636364 0.0567120320854545
"Sitting" 7 0.01345903379375 -0.00212763639375 -0.0151870488458333 -0.0374578825520833 0.009883503125 -0.0334633143304167 1.02099060625 0.020152606125 0.0560343507479167
"Sitting" 8 -0.00479165906804348 0.0190667120934783 0.00996749544565217 -0.0391723941521739 -0.0108583931282609 -0.0220870506021739 0.922688606521739 0.263348993913044 0.253642502826087
"Sitting" 9 -0.007560123968 -0.0018439807318 0.016535809208 -0.017741756094 0.01829846536 -0.00475765208 0.983638446 -0.02082314314 0.076249929952
"Sitting" 10 -0.00188687891592593 0.00371336635555556 0.00538373440555556 -0.0313076740140741 0.00361777748703704 -0.0169905866148148 0.89449037962963 -0.0219632981481481 0.196010015740741
"Sitting" 11 0.000441968160377358 0.0123624293962264 -0.00781261716037736 -0.0229637672433962 -0.00416672832226415 -0.0103278310283019 0.952700009433962 0.234838189264151 0.177577934716981
"Sitting" 12 -0.00316273449019608 0.00207343602941176 0.00409378759803922 -0.0236354169607843 -0.00933471278627451 -0.0114548263058824 0.98965142745098 0.100885674882353 0.0834355689215686
"Sitting" 13 0.000822499673469388 0.012326660744898 0.0195778923020408 -0.0158652677571429 0.000296428248979591 -0.0205351371265306 0.98969522244898 0.119470992653061 0.0748892987755102
"Sitting" 14 0.00308976929444444 0.0175771399851852 0.00794447386481481 -0.0324423055481481 0.0145963598814815 0.00165490248518519 0.999907955555556 -0.0134172433351852 -0.0981926227777778
"Sitting" 15 -0.0044725167959322 0.0213650766891525 0.000566357313389831 -0.013100568730678 -0.0071613733 -0.00275262266101695 0.964022728813559 0.232931598813559 -3.75228813559323e-05
"Sitting" 16 0.00337782962710145 0.00691122039202899 0.00918507165536232 -0.0217150456057971 0.00657801067246377 0.00511307059855073 1.00228153333333 -0.0697682823188406 0.081078042173913
"Sitting" 17 0.00052665931765625 0.0055202981546875 -0.0026927267296875 -0.0241851179171875 0.0052853182203125 -0.00590147964375 1.00398629375 0.016368347609375 -0.13789905521875
